epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9503,3.07295,11.0918,1.59905,0,0,0,0,3.30398,12.9684,1.24774,1.667e-05,1.667e-05,1.667e-05
2,67.3692,3.57427,15.5654,1.66379,0.00032,0.00219,0.00017,2e-05,2.83965,11.7282,1.12884,4.95149e-05,4.95149e-05,4.95149e-05
3,99.1947,2.89683,11.9158,1.30491,0.00034,0.00219,0.00067,7e-05,2.83976,10.9477,1.06767,8.16997e-05,8.16997e-05,8.16997e-05
4,130.183,3.08534,11.4547,0.84454,0.00036,0.00219,0.00068,0.00011,3.36137,11.0547,1.04646,0.000113224,0.000113224,0.000113224
5,161.882,2.93756,12.0958,1.03125,0.00039,0.00219,0.00069,0.00015,3.3233,10.5261,1.06219,0.000144089,0.000144089,0.000144089
6,194.378,2.94317,10.3728,0.88619,0.00039,0.00219,0.00069,0.00011,3.17877,10.1465,1.01745,0.000174293,0.000174293,0.000174293
7,229.735,2.84395,8.74611,0.8663,0.0004,0.00219,0.00061,0.0001,3.00753,9.66243,0.98625,0.000203837,0.000203837,0.000203837
8,262.04,2.65138,7.40933,1.16322,0.00042,0.00219,0.00049,7e-05,3.08789,9.5327,0.94222,0.000232722,0.000232722,0.000232722
9,293.949,2.7172,7.5758,0.93209,0.00041,0.00219,0.00046,5e-05,3.27384,9.70917,0.92543,0.000260946,0.000260946,0.000260946
10,325.329,2.6679,7.714,0.91693,0.00041,0.00219,0.00083,8e-05,3.38577,9.82528,0.94255,0.000288509,0.000288509,0.000288509
11,357.46,2.42713,6.87914,0.793,0.00041,0.00219,0.00056,6e-05,3.38576,9.82929,0.88733,0.000315413,0.000315413,0.000315413
12,1292.47,2.52063,7.02165,1.00599,0,0,0,0,3.35143,9.54611,0.87387,0.000341657,0.000341657,0.000341657
13,1388.72,2.50862,6.45572,1.2151,0.00042,0.00219,0.00024,2e-05,3.29894,9.37848,0.8742,0.00036724,0.00036724,0.00036724
14,1422.34,2.79498,7.26867,0.95531,0.00039,0.00219,0.00022,2e-05,3.14749,9.21939,0.93683,0.000392163,0.000392163,0.000392163
15,1454.14,2.55859,7.65932,0.90075,0.00037,0.00219,0.00025,5e-05,3.21303,9.07742,1.02272,0.000416427,0.000416427,0.000416427
16,1486.67,2.31459,5.81894,0.82428,0.00038,0.00219,0.00031,6e-05,3.59237,9.85123,0.9992,0.00044003,0.00044003,0.00044003
17,1518.76,2.33202,6.18835,0.77463,0.00038,0.00219,0.00081,0.00018,3.58956,9.99148,0.99864,0.000462973,0.000462973,0.000462973
18,1550.21,2.19052,5.44283,0.91827,0.00038,0.00219,0.0002,0.0001,3.44973,9.83283,0.96298,0.000485255,0.000485255,0.000485255
19,1582.14,2.15818,5.65266,0.963,0.00039,0.00219,0.00069,0.00013,3.26788,9.38282,0.94986,0.000506878,0.000506878,0.000506878
20,1613.97,2.16963,5.56513,0.94338,0.00041,0.00219,0.00021,2e-05,3.51381,9.49242,0.89081,0.000527841,0.000527841,0.000527841
21,1645.32,2.583,6.60825,0.81395,0.00042,0.00219,0.00032,6e-05,3.63681,9.45018,0.87063,0.000548143,0.000548143,0.000548143
22,1676.64,2.14385,5.43421,1.05501,0.00043,0.00219,0.00038,4e-05,3.71195,9.66497,1.05267,0.000567785,0.000567785,0.000567785
23,1708.31,2.465,6.12618,0.79126,0.00042,0.00219,0.00271,0.00054,3.32102,8.65897,1.3268,0.000586767,0.000586767,0.000586767
24,1739.85,2.49343,6.0644,0.89089,0.00041,0.00219,0.00145,0.00027,2.89502,7.97659,0.84648,0.000605089,0.000605089,0.000605089
25,1771.7,2.07798,5.38951,0.96242,0.00041,0.00219,0.00045,0.00011,2.71046,7.6614,0.86344,0.000622751,0.000622751,0.000622751
26,1803.75,2.49751,5.65047,0.91879,0,0,0,0,3.11291,8.10433,0.91248,0.000639753,0.000639753,0.000639753
27,1834.82,2.03983,5.58292,1.04274,0,0,0,0,3.4802,8.63575,1.02675,0.000656095,0.000656095,0.000656095
